"knab_transaction_id","datum","tegenpartij","omschrijving","knab_bedrag","zakelijke_kosten","categorie","bronstatus","opmerking"
"9262a5ff-ea2c-4605-bc52-31d950e477a8","2026-08-26","BNG*Gemeente Diemen","DIEMEN 26-08-2026 18:50 Pas: 3789","-0.20","0.20","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"62e8f1af-1ca4-47d0-b76c-77f767a07cc0","2026-08-25","HE1801 Gamma Zeist","ZEIST 25-08-2026 15:17 Pas: 3789","-15.07","15.07","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"6f8df0b8-31f6-4b36-aca2-19a0f21eb8e8","2026-08-25","CCV*Van Brenen Transpo","DOORN 25-08-2026 11:14 Pas: 3789","-27.66","27.66","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"4b3d0ea1-05b1-40a7-946d-5523df01ac18","2026-08-25","Total Nn001244 Zeewold","Zeewolde 25-08-2026 10:12 Pas: 3789","-3.90","3.90","brandstof","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"dc1bd8c6-55bb-4566-bd0d-5d15a0dea932","2026-08-24","BNG*Gemeente Diemen","DIEMEN 24-08-2026 16:50 Pas: 3789","-2.62","2.62","overig","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"babf9174-bdea-4e5f-9bf5-428d32cc2140","2026-08-24","MS* VIAAMSTERDAM","AMSTERDAM 24-08-2026 08:04 Pas: 3789","-3.39","3.39","hotel","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"0f852fa2-c9c7-42cb-a971-bae6e3412c0b","2026-08-24","Booking","HJKQ84TD7J88F8X32I2M1 7180424416861004 Hotel at Booking.com","-19.68","19.68","hotel","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"fa547327-65a1-4607-ba79-430865a4e221","2026-08-17","Bouwmaat Huizen","HUIZEN 17-08-2026 09:03 Pas: 3789","-72.29","72.29","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"39e4890d-54e1-4067-8666-22cc17c8490c","2026-08-17","DERDENGELDEN BOUWMAAT","5000VF001995788,5000VF001995839,5000VF001997668","-206.84","206.84","materiaal","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
"01fd0ba1-fcb4-4f1e-b828-d0f24a95ad9b","2026-08-17","KPN","0000001383695122 7051134738124824 Facturen KPN","-41.00","41.00","telefoon","geen bronkoppeling","Geen exact bronbedrag gevonden; Knab-bedrag blijft leidend."
