supplier;date;product;current_product_category;cost_row_category;raw_bank_category;proposed_category;confidence_current_correct_pct;finding;reason;cost_id
"BME Bouwmaten Nederland B.V. (Bouwmaat)";"2026-08-13";"Knorr Cup-a-Soup Soep Tomaat 21x11 gr, 21 stuks";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"480f07e9-aaa0-48b3-9722-b3b9f46d36e5"
"BME Bouwmaten Nederland B.V. (Bouwmaat)";"2026-08-13";"Ola Magnum Almond 110ml";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"480f07e9-aaa0-48b3-9722-b3b9f46d36e5"
"BME Bouwmaten Nederland B.V. (Bouwmaat)";"2026-08-13";"Red Bull Energy Blik 25cl";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"480f07e9-aaa0-48b3-9722-b3b9f46d36e5"
"BME Bouwmaten Nederland B.V. (Bouwmaat)";"2026-08-13";"Snickers";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"480f07e9-aaa0-48b3-9722-b3b9f46d36e5"
"BME Bouwmaten Nederland B.V. (Bouwmaat)";"2026-08-13";"Statiegeld";"overig";"overig";"overig";"retourwaarborg / geen definitieve kosten";"55";"handmatig beslissen";"Statiegeld is terugvorderbaar en mogelijk geen definitieve kostenpost.";"480f07e9-aaa0-48b3-9722-b3b9f46d36e5"
"BME Bouwmaten Nederland B.V. (Bouwmaat)";"2026-08-13";"Twix 50 gram";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"480f07e9-aaa0-48b3-9722-b3b9f46d36e5"
"Boels Verhuur B.V.";"2026-08-03";"Totaal brand-/diefstalregeling (B)";"overig";"overig";"(niet gekoppeld)";"gereedschap";"20";"handmatig beslissen";"Toeslag hoort bij dezelfde gehuurde machine/steiger; eventueel apart als overig.";"7a98b8de-837a-4267-93c3-5ee001a8fda4"
"Boels Verhuur B.V.";"2026-08-03";"Totaal schade afkoop (A)";"overig";"overig";"(niet gekoppeld)";"gereedschap";"20";"handmatig beslissen";"Toeslag hoort bij dezelfde gehuurde machine/steiger; eventueel apart als overig.";"7a98b8de-837a-4267-93c3-5ee001a8fda4"
"Boels Verhuur B.V.";"2026-08-10";"Totaal brand-/diefstalregeling (B)";"overig";"overig";"(niet gekoppeld)";"gereedschap";"20";"handmatig beslissen";"Toeslag hoort bij dezelfde gehuurde machine/steiger; eventueel apart als overig.";"0ab44461-bb93-4b0f-9c08-7e90d4940148"
"Boels Verhuur B.V.";"2026-08-10";"Totaal schade afkoop (A)";"overig";"overig";"(niet gekoppeld)";"gereedschap";"20";"handmatig beslissen";"Toeslag hoort bij dezelfde gehuurde machine/steiger; eventueel apart als overig.";"0ab44461-bb93-4b0f-9c08-7e90d4940148"
"Bouwcenter RAB";"2026-06-29";"MASCOT Complete Kampala riem (zwart)";"gereedschap";"gereedschap";"overig";"gereedschap of eigen_verbruik";"70";"handmatig beslissen";"Werkkleding/accessoire heeft geen eigen categorie.";"4207e98a-e9b5-429c-94d7-c6bfdfa41b7a"
"bouwmaat";"2026-07-15";"(geen productomschrijving)";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"f7d76cd6-c0b5-4d2f-97e6-f2a67cdf54e6"
"Bouwmaat";"2026-07-13";"LEGO 42226 BMW M4 GT3 EVO Racewagen";"overig";"materiaal";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"28912bca-64eb-4236-a789-623926342070"
"Bouwmaat";"2026-07-13";"statiegeld";"materiaal";"materiaal";"overig";"retourwaarborg / geen definitieve kosten";"55";"handmatig beslissen";"Statiegeld is terugvorderbaar en mogelijk geen definitieve kostenpost.";"21b0e43a-501e-491c-9bce-d5b2960e3457"
"Bouwmaat";"2026-07-13";"Statiegeld bezorg/afhaalpallet";"overig";"materiaal";"overig";"retourwaarborg / geen definitieve kosten";"55";"handmatig beslissen";"Statiegeld is terugvorderbaar en mogelijk geen definitieve kostenpost.";"28912bca-64eb-4236-a789-623926342070"
"Bouwmaat";"2026-08-11";"Bouwmaat materialen volgens factuur 1000VF003448139";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"4d4067ab-41a3-40d8-9b00-ec22d310def1"
"Bouwmaat Alkmaar";"2026-06-29";"diverse materialen";"materiaal";"eigen_verbruik";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"2ce6e947-b9a9-4a8f-9ffe-e14d36801b35"
"Bouwmaat Alkmaar";"2026-06-29";"Eigen verbruik - Bouwmaat Alkmaar";"gereedschap";"eigen_verbruik";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"2ce6e947-b9a9-4a8f-9ffe-e14d36801b35"
"Bouwmaat Alkmaar";"2026-07-03";"Bouwmaat Uitvulplaat Blauw 4mm 48st";"gereedschap";"gereedschap";"overig";"materiaal";"3";"waarschijnlijk fout";"Verbruikbaar montage-/stelmateriaal.";"fb6c5007-298d-410d-9ce2-f75d7fcfaa5c"
"Bouwmaat Alkmaar";"2026-07-03";"Bouwmaat Uitvulplaat Rood 5mm 48st";"gereedschap";"gereedschap";"overig";"materiaal";"3";"waarschijnlijk fout";"Verbruikbaar montage-/stelmateriaal.";"fb6c5007-298d-410d-9ce2-f75d7fcfaa5c"
"Bouwmaat Alkmaar";"2026-07-03";"Bouwmaat Uitvulplaat Wit 1mm 96st";"gereedschap";"gereedschap";"overig";"materiaal";"3";"waarschijnlijk fout";"Verbruikbaar montage-/stelmateriaal.";"fb6c5007-298d-410d-9ce2-f75d7fcfaa5c"
"Bouwmaat Alkmaar";"2026-07-03";"Bouwmaat Uitvulplaat Zwart 3mm 48st";"gereedschap";"gereedschap";"overig";"materiaal";"3";"waarschijnlijk fout";"Verbruikbaar montage-/stelmateriaal.";"fb6c5007-298d-410d-9ce2-f75d7fcfaa5c"
"Bouwmaat Amersfoort";"2026-07-10";"Bouwmaat Reinigingsdoekjes 80st";"gereedschap";"gereedschap";"overig";"materiaal of gereedschap";"65";"handmatig beslissen";"Verbruiksmiddel; categorisatiebeleid is niet eenduidig.";"6a06386e-2027-41f0-b43a-d4c212ef64ab"
"Bouwmaat Amstel";"2026-08-03";"Algemene materialen";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"63f7e676-aa32-427b-88d7-62648ea5855a"
"Bouwmaat Amsterdam Amstel XL";"2026-07-31";"Inzetbak tbv Verfbak Grijs 24x32cm 5st";"materiaal";"materiaal";"overig";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"e3c32ffe-91fa-4e9d-9b2d-3313ee46a50b"
"Bouwmaat Amsterdam Amstel XL";"2026-07-31";"Makita Red Velcro Schuurvel K180 114x102mm 10st";"materiaal";"materiaal";"overig";"gereedschap";"30";"handmatig beslissen";"Schuurmiddel/accessoire; beleid kan ook verbruiksmateriaal zijn.";"e3c32ffe-91fa-4e9d-9b2d-3313ee46a50b"
"Bouwmaat Amsterdam B.V.";"2026-08-05";"Statiegeld bezorg/afhaalpallet";"materiaal";"materiaal";"(niet gekoppeld)";"retourwaarborg / geen definitieve kosten";"55";"handmatig beslissen";"Statiegeld is terugvorderbaar en mogelijk geen definitieve kostenpost.";"cf3e6e08-c7d1-4cfc-96de-9f288ffd574d"
"Bouwmaat Haarlem XL";"2026-07-01";"Carpoint Spanbanden 2,5m 2stuks";"gereedschap";"gereedschap";"overig";"gereedschap of autokosten";"65";"handmatig beslissen";"Kan werkmaterieel zijn of vast voertuigtoebehoren.";"a60ab592-c3ab-4206-8b3c-62468be8ae0d"
"Bouwmaat Haarlem XL";"2026-07-04";"Bouwmaat Reinigingsdoekjes 80st";"gereedschap";"gereedschap";"overig";"materiaal of gereedschap";"65";"handmatig beslissen";"Verbruiksmiddel; categorisatiebeleid is niet eenduidig.";"4904f1e9-917e-4091-b4af-66b89e18a659"
"Bouwmaat Huizen B.V.";"2026-08-20";"Douwe Egberts Koffie Snelfiltermaling, 500 gr";"overig";"overig";"(niet gekoppeld)";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"48935a77-e48b-4ed6-b397-a7c43294778e"
"Bouwmaat Huizen B.V.";"2026-08-21";"Bostik Maatemmer 10L";"materiaal";"materiaal";"(niet gekoppeld)";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"6902de15-8d02-4c21-95d8-97c3dbd11e0a"
"Bouwmaat Huizen B.V.";"2026-08-21";"Vero Bezemsteel Hout 1500x28mm";"materiaal";"materiaal";"(niet gekoppeld)";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"6902de15-8d02-4c21-95d8-97c3dbd11e0a"
"Bouwmaat Huizen B.V.";"2026-08-21";"Vero Bouwstoffer 1321 hout met cocos vezels";"materiaal";"materiaal";"(niet gekoppeld)";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"6902de15-8d02-4c21-95d8-97c3dbd11e0a"
"Bouwmaat Huizen B.V.";"2026-08-21";"Vero Outdoor Bezem hout kokos lengte: 40 cm";"materiaal";"materiaal";"(niet gekoppeld)";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"6902de15-8d02-4c21-95d8-97c3dbd11e0a"
"Bouwmaat Sloterdijk";"2026-07-25";"Bouwmaat factuur 1233192 – diverse bouwmaterialen en toeslagen";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"da12cbed-d46e-417c-bae2-621cd20299c6"
"Derdengelden Bouwmaat";"2026-08-14";"Algemene materialen";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"6e0b60ad-42ad-4076-b6c1-f80c3cbf3d08"
"Derks Lease";"2026-08-20";"Administratiekosten boete (kenmerk 5062542283801331)";"overig";"boetes";"(niet gekoppeld)";"boetes";"1";"waarschijnlijk fout";"Boete of directe administratiekosten van een boete.";"84e2e8c3-c202-4893-a2af-58ef6c513111"
"Derks Lease";"2026-08-20";"Verkeersboete CJIB (kenmerk 5062542283801331) – 13 km/u te hard op autosnelweg buiten bebouwde kom (A10 Links tussen Coentunnel en de Nieuwe Meer)";"overig";"boetes";"(niet gekoppeld)";"boetes";"1";"waarschijnlijk fout";"Boete of directe administratiekosten van een boete.";"84e2e8c3-c202-4893-a2af-58ef6c513111"
"Derks Lease B.V.";"2026-07-15";"Factuurregel";"boetes";"boetes";"overig";"boetes (document controleren)";"70";"onvoldoende informatie";"Productomschrijving bevat geen inhoudelijke informatie.";"81277c6c-4ba8-48b6-a149-276758e6d50c"
"Derks Lease B.V.";"2026-08-10";"Zakelijke verkeersboete / leasekosten (geen btw)";"boetes";"boetes";"overig";"splitsen: boetes + autokosten";"35";"handmatig beslissen";"Omschrijving combineert boete en leasekosten.";"f2d0d2f8-e42b-4cc3-9632-b474467ab2ae"
"Derkslease";"2026-05-21";"Opel Vivaro (gb) 1.5d l3h1 hl selection 75kW (kenteken VDD-37-F) - periode 21-05-2026 t/m 31-05-2026";"materiaal";"autokosten";"overig";"autokosten";"1";"waarschijnlijk fout";"Lease-/huurtermijn van de bedrijfsbus.";"d94c2381-10bd-4f36-a028-fe39cf61ea0f"
"Derkslease";"2026-06-30";"Termijn lease/huur Opel Vivaro (kenteken VDD-37-F), contract 2898, periode 01-06-2026 t/m 30-06-2026";"gereedschap";"autokosten";"overig";"autokosten";"1";"waarschijnlijk fout";"Lease-/huurtermijn van de bedrijfsbus.";"7f43e3b4-7dcb-40da-92f0-f30b564a1df4"
"Derkslease";"2026-07-01";"Lease termijnbedrag Opel Vivaro (gb) 1.5d l3h1 hl selection 75kW, periode 01-07-2026 t/m 31-07-2026";"brandstof";"autokosten";"overig";"autokosten";"1";"waarschijnlijk fout";"Lease-/huurtermijn van de bedrijfsbus.";"9f233815-3cb7-4dce-ae7a-e3a64a07ccfc"
"DerksLease";"2026-08-01";"Lease termijn kenteken VDD-37-F (Opel Vivaro (gb) 1.5d l3h1 hl selection 75kW) periode 01-08-2026 t/m 31-08-2026 (contract 2898)";"overig";"autokosten";"overig";"autokosten";"1";"waarschijnlijk fout";"Lease-/huurtermijn van de bedrijfsbus.";"edba7ea5-e658-4360-877b-491547a4188a"
